"Date","Price","Open","High","Low","Vol.","Change %"
"08/03/2021","32,803","34,328","34,328","32,060","348.10K","-4.44%"
"08/02/2021","34,328","34,914","34,914","33,624","383.40K","-2.23%"
"07/30/2021","35,110","35,266","35,501","34,406","452.46K","-0.33%"
"07/29/2021","35,227","34,015","35,423","32,842","434.42K","3.56%"
"07/28/2021","34,015","35,501","35,501","33,624","347.46K","-4.19%"
"07/27/2021","35,501","37,143","37,143","35,501","377.13K","-5.42%"
"07/26/2021","37,534","38,550","38,707","36,986","311.02K","-3.81%"
"07/23/2021","39,020","40,662","40,662","39,020","267.15K","-3.67%"
"07/22/2021","40,505","39,645","40,818","39,411","395.68K","1.97%"
"07/21/2021","39,723","38,629","39,723","38,316","371.51K","2.83%"
"07/20/2021","38,629","37,925","38,707","37,143","397.34K","4.00%"
"07/19/2021","37,143","39,098","39,489","37,143","262.04K","-6.86%"
"07/16/2021","39,880","40,427","40,662","39,489","304.88K","-0.78%"
"07/15/2021","40,192","39,332","40,192","39,254","301.94K","1.78%"
"07/14/2021","39,489","39,411","39,567","38,707","246.05K","0.40%"
"07/13/2021","39,332","37,143","39,880","37,143","276.36K","1.00%"
"07/12/2021","38,941","41,756","41,756","38,941","284.67K","-6.92%"
"07/09/2021","41,835","42,226","42,538","41,600","336.59K","-0.93%"
"07/08/2021","42,226","43,555","43,789","41,444","234.92K","-3.05%"
"07/07/2021","43,555","43,399","43,711","42,695","271.88K","-0.53%"
"07/06/2021","43,789","43,555","44,337","43,399","275.34K","0.90%"
"07/05/2021","43,399","43,789","43,789","41,444","348.74K","-1.07%"
"07/02/2021","43,868","44,102","44,102","43,633","228.91K","-0.71%"
"07/01/2021","44,180","44,571","44,571","43,946","395.55K","-0.70%"
"06/30/2021","44,493","44,415","45,353","44,102","355.65K","0.71%"
"06/29/2021","44,180","44,180","44,571","44,024","194.26K","-0.88%"
"06/28/2021","44,571","45,353","45,353","44,259","204.36K","-1.72%"
"06/25/2021","45,353","44,884","45,353","44,806","239.66K","1.22%"
"06/24/2021","44,806","44,806","44,806","44,493","204.87K","0.35%"
"06/23/2021","44,650","46,135","46,135","44,180","264.21K","-3.87%"
"06/22/2021","46,448","48,481","48,481","45,432","249.38K","-4.50%"
"06/21/2021","48,638","49,029","49,029","48,481","259.09K","-0.80%"
"06/18/2021","49,029","50,045","50,436","48,716","271.63K","-2.03%"
"06/17/2021","50,045","47,934","50,045","47,699","357.57K","4.07%"
"06/16/2021","48,090","47,308","48,090","47,308","292.60K","1.82%"
"06/15/2021","47,230","45,823","47,308","44,571","321.12K","2.90%"
"06/14/2021","45,901","47,777","47,777","45,744","325.85K","-2.97%"
"06/11/2021","47,308","47,308","48,168","46,292","389.92K","-0.33%"
"06/10/2021","47,465","46,917","48,090","46,917","433.91K","2.88%"
"06/09/2021","46,135","43,868","46,135","43,320","395.04K","4.43%"
"06/08/2021","44,180","46,292","46,292","44,180","338.51K","-5.04%"
"06/07/2021","46,526","47,856","47,856","46,526","274.06K","-2.78%"
"06/04/2021","47,856","48,247","48,872","47,699","281.47K","-0.65%"
"06/03/2021","48,168","45,744","48,481","45,744","492.48K","4.41%"
"06/02/2021","46,135","45,666","46,135","45,353","330.45K","0.68%"
"06/01/2021","45,823","45,666","45,823","45,588","185.56K","0.17%"
"05/31/2021","45,744","45,119","45,901","43,008","417.54K","1.21%"
"05/28/2021","45,197","45,510","45,588","44,884","360.51K","-0.69%"
"05/27/2021","45,510","46,214","46,292","45,432","262.80K","-1.85%"
"05/26/2021","46,370","47,621","47,621","46,292","605.79K","-2.47%"
"05/25/2021","47,543","48,247","48,403","47,386","310.89K","-1.46%"
"05/24/2021","48,247","47,621","48,481","47,621","341.71K","0.33%"
"05/21/2021","48,090","46,761","48,090","45,901","564.61K","3.19%"
"05/20/2021","46,605","45,353","46,605","44,415","521.51K","2.76%"
